English,Korean,Other,DL,ISSUE,CC SRC,Validate,Assign,Genres,List,Link,IMDb
Forgotten,기억의 밤,---,1,sk vpn,netflix,1,-done,"psychological, suspenseful, mystery, drama",netflix,https://www.imdb.com/title/tt7057496/?ref_=nv_sr_srsg_0,1
Goedam,도시괴담,Ghost Story___The Possessed,1,---,netflix,1,-done,"chilling, scary, ensemble, horror, dark",netflix,https://www.imdb.com/title/tt12929796/?ref_=nv_sr_srsg_0,1
Graceful Friends,우아한 친구들,---,1,sk vpn,netflix,1,-done,"suspenseful, drama, ensemble",netflix,https://www.imdb.com/title/tt12531492/?ref_=nv_sr_srsg_4,1
Green Mother's Club,그린마더스클럽,---,1,---,netflix,1,-done,"drama, ensemble, keeping secrets",netflix,https://www.imdb.com/title/tt15060900/?ref_=nv_sr_srsg_0,1
Hanwoo Rhapsody,한우 랩소디,Korean Beef Rhapsody,1,---,netflix,1,-done,"relaxing, food, wine, social, cultural, docuseries",netflix,https://www.imdb.com/title/tt16977638/?ref_=nv_sr_srsg_0,1
Hellbound,지옥,地獄,1,---,Netflix,1,-done,"Violent, Dark, Horror, suspenseful, crime, mysteries",netflix,https://www.imdb.com/title/tt12235718/?ref_=nv_sr_srsg_0,1
"Hello, Me!",안녕? 나야!,安寧? 나야!___Hello? It's Me!,1,---,netflix,1,-done,"quirky, romantic, comedy, based on book",netflix,https://www.imdb.com/title/tt13670090/?ref_=nv_sr_srsg_0,1
"Hello, My Twenties!",청춘시대,青春時代___Age of Youth,1,sk vpn,netflix,1,-done,"irreverent, emotional, dramedy, drama, comedy, romantic",netflix,https://www.imdb.com/title/tt5858892/?ref_=nv_sr_srsg_0,1
Her Private Life,그녀의 사생활,그女의 私生活___Her Personal Life,1,---,viki,1,-done,"swoonworthy, charming, comedy, feel-good, based on books, romantic",netflix,https://www.imdb.com/title/tt9899340/?ref_=nv_sr_srsg_0,1
"Hi Bye, Mama!","하이바이, 마마!",---,1,---,Netflix,1,-done,"Heartfelt, Emotional, Dramedy, drama, comedy",netflix,https://www.imdb.com/title/tt11804034/?ref_=nv_sr_srsg_0,1
High Society,상류사회,A Chaebol’s Daughter___The Privileged___True Romance,1,---,Netflix,1,-done,"Steamy, drama, corruption",netflix,https://www.imdb.com/title/tt8865580/?ref_=nv_sr_srsg_0,1
Hometown Cha-Cha-Cha,갯마을 차차차,---,1,---,netflix,1,-done,"charming, intimate, comedy, feel-good, romantic",netflix,https://www.imdb.com/title/tt14518756/?ref_=nv_sr_srsg_0,1
Hospital Playlist,슬기로운 의사생활,슬기로운 醫師生活___Wise Doctor Life,1,---,Netflix,1,-done,"Nostalgic, Heartfelt, Dramedy, medical, drama, comedy",netflix,https://www.imdb.com/title/tt11769304/?ref_=nv_sr_srsg_0,1
Hotel Del Luna,호텔 델루나,---,1,---,viki,1,-done,"swoonworthy, quirky, fantasy, romantic, comedy, heartfelt ",netflix,https://www.imdb.com/title/tt10220588/?ref_=nv_sr_srsg_0,1
How to Use Guys with Secret Tips,남자사용설명서,A Manual on How to Use Men,1,skvpn,Netflix,1,-done,"quirky, romantic, satire, comedy",listed,https://www.imdb.com/title/tt2934568/?ref_=nv_sr_srsg_0,1
Hyena,하이에나,---,1,---,netflix,1,-done,"offbeat, drama, courtroom, social issue",netflix,https://www.imdb.com/title/tt11534164/?ref_=nv_sr_srsg_6,1
Hymn of Death,사의 찬미,Praise of Death,1,sk vpn,netflix,1,-done,"sentimental, romantic, drama",netflix,https://www.imdb.com/title/tt8160064/?ref_=nv_sr_srsg_0,1
I,아이,Child,1,skvpn,Netflix,1,-done,"emotional, drama, friendship",listed,https://www.imdb.com/title/tt14891034/?ref_=nm_flmg_act_4,1
I'll Go to You When the Weather is Nice,날씨가 좋으면 찾아가겠어요,When the Weather is Fine___I'll Find You on a Beautiful Day,1,---,viki,1,-done,romance,listed,https://www.imdb.com/title/tt11535086/?ref_=fn_al_tt_1,1
Illang: The Wolf Brigade,인랑,人狼___Human-Wolf,1,---,netflix,1,-done,"dystopian, violent, action, sci-fi, adventure, gritty",netflix,https://www.imdb.com/title/tt3967878/?ref_=nv_sr_srsg_0,1
Inheritors,"상속자들 - 왕관을 쓰려는 자, 그 무게를 견뎌라",Heirs___Heirs: He Who Wears the Crown Must Bear Its Weight___The Heirs,1,---,viki,1,-done,"swoonworthy, soupy, drama, romantic",netflix,https://www.imdb.com/title/tt3243098/?ref_=nv_sr_srsg_4,1
Inspector Koo,구경이,A Wonderful Sight___Sightseeing,1,---,netflix,1,-done,"psychological, suspenseful, thriller, crime",netflix,https://www.imdb.com/title/tt14731794/?ref_=nv_sr_srsg_0,1
Iris,아이리스,---,1,---,netflix,1,-done,"slick, suspenseful, thriller, political, based on books, exciting",netflix,https://www.imdb.com/title/tt1757202/?ref_=nv_sr_srsg_6,1
It's Okay to Not Be Okay,사이코지만 괜찮아,Psycho but It's Okay,1,---,netflix,1,-done,"swoonworthy, quirky, dramedy, drama, comedy, heartfelt, romantic",netflix,https://www.imdb.com/title/tt12451520/?ref_=nv_sr_srsg_0,1
Itaewon Class,이태원 클라쓰,梨泰院 클쓰,1,"resolved
sk vpn",netflix,1,-done,"swoonworthy, inspiring, drama, based on webtoons, social issue, emotional",netflix,https://www.imdb.com/title/tt11239552/?ref_=nv_sr_srsg_0,1
Jo Pil-ho: The Dawning Rage,악질경찰,Bad Police,1,---,netflix,1,-done,"gritty, thriller, rogue cop, drama",netflix,https://www.imdb.com/title/tt7738048/?ref_=nv_sr_srsg_0,1
Jump like a Witch,언니들이 뛴다-마녀체력 농구부,Witch's Basketball Club___Witches' Basketball Club___Sisters are running - Witch Fitness Basketball Club___Unnies Are Running: Witch Fitness Basketball Team,1,sk vpn,netflix,1,-done,"exciting, reality, basketball",netflix,https://mydramalist.com/721313-jump-like-a-witch,0
Juvenile Justice,소년 심판,Juvenile Judgement,1,---,netflix,1,-done,"drama, slow burn, courtroom, crime",netflix,https://www.imdb.com/title/tt15553922/?ref_=nv_sr_srsg_0,1
Kingdom,킹덤,---,1,---,netflix,1,-done,"gruesome, gory, horror, drama, based on webtoon, political, violent, zombie, period piece",netflix,https://www.imdb.com/title/tt6611916/?ref_=nv_sr_srsg_6,1
Kingdom: Ashin of the North,킹덤: 아신전,---,1,---,netflix,1,-done,"gruesome, gory, horror, drama, based on webtoon, period piece, violent",netflix,https://www.imdb.com/title/tt13412252/?ref_=fn_al_tt_1,1
Kiss Goblin,키스요괴,Kiss Ghost,1,---,viki,1,-done,"drama, romance, fantasy",listed,https://www.imdb.com/title/tt14212332/?ref_=nv_sr_srsg_0,1
